Species,Family,CS,SK,done,comments
Albula vulpers,,uncat,,,"""found under MCZ4747"""
Ctenochaetus strigosus,Acanthuridae,51682,NA,NA,odd joint for this family
Zebrasoma flavescens,Acanthuridae,172171,NA,NA,NA
Rhodeus sericeus,Acheilognathidae,x,NA,NA,NA
Acipenser fulvescens,Acipenseridae,NA,x,NA,NA
Acipenser brevirostrum,Acipenseridae,56468,x,cs,NA
Pterothrissus gissu,Albulidae,x,NA,NA,NA
Alepisaurus ferox,Alepisauridae,NA,x,NA,NA
Xenodermichthys copei,Alepocephalidae,51938,NA,NA,NA
Alosa aestivalis,Alosidae,x,x,NA,NA
Alosa pseudoharengus,Alosidae,x,x,NA,NA
Brevoortia tyrannus,Alosidae,x,x,NA,NA
Sardina pilchardus,Alosidae,x,x,NA,NA
Alosa sapidissima,Alosidae,NA,x,NA,NA
Chologaster cornuta,Amblyopsidae,x,NA,NA,NA
Amia calva,Amiidae,x,x,NA,NA
Ammodytes hexapterus,Ammodytidae,x,NA,NA,NA
Anarhichas lupus,Anarhichadidae,NA,x,NA,NA
Anoplogaster cornuta,Anoplogastridae,x,x,NA,NA
Histrio histrio,Antennariidae,x,NA,NA,NA
Anthias anthias,Anthiadidae,NA,x,NA,NA
Antigonia capros,Antigoniidae,x,x,NA,NA
Aphredoderus sayanus,Aphredoderidae,x,NA,NA,NA
Apogon binotatus,Apogonidae,x,NA,NA,NA
Argentina silus,Argentinidae,NA,x,NA,NA
Bagre marinus,Ariidae,NA,x,NA,NA
Cathorops spixii,Ariidae,NA,x,NA,NA
Aulorhynchus flavidus,Aulorhynchidae,x,NA,NA,NA
Aulostomus maculatus,Aulostomidae,NA,x,NA,NA
Balistes capriscus,Balistidae,NA,x,NA,NA
Canthidermis maculata,Balistidae,NA,x,NA,NA
Melichthys niger,Balistidae,NA,x,NA,NA
Bathylagus euryops,Bathylagidae,x,NA,NA,NA
Bathysaurus ferox,Bathysauridae,x,x,NA,NA
Porichthys notatus,Batrachoididae,x,x,NA,NA
Porichthys porosissimus,Batrachoididae,NA,x,NA,NA
Belone belone,Belonidae,x,NA,NA,NA
Strongylura marina,Belonidae,x,x,NA,NA
Strongylura timucu,Belonidae,x,x,NA,NA
Beryx splendens,Berycidae,x,NA,NA,NA
