SpecCode,Species,Habitat,DNW,SST,SSTrange,Productivity,GBIF,Range,TP,Length,Richness,Anthozoa,Cnidaria_other,Polychaeta,Clitellata,Annelida_other,Polyplacophora,Bivalvia,Gastropoda,Cephalopoda,Mollusca_other,Brachiopoda,Ostracoda,Maxillopoda,Malacostraca,Insecta,Arthropoda_other,Ophiuroidea,Echinoidea,Holothuroidea,Echinodermata_other,Actinopterygii,Chondrichthyes,Amphibia,Reptilia,Aves,Mammalia,Chordata_other,Animalia_other,Plantae
5,Orthopristis chrysoptera,demersal,2.32,0.40,0.61,0.40,2.31,-0.35,-0.11,0.36,0.07,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
6,Coryphaena hippurus,pelagic-neritic,2.10,0.37,-0.25,-0.99,2.18,2.22,1.76,1.87,-0.72,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1
7,Coryphaena equiselis,pelagic-oceanic,-0.49,0.43,-0.46,-1.08,0.71,2.63,1.80,1.37,-0.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
10,Alectis indica,reef-associated,-0.06,0.73,-0.65,0.02,0.14,0.98,1.09,1.63,0.82,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
12,Cephalopholis cruentata,reef-associated,0.16,0.62,-0.55,-0.61,1.12,-0.16,1.21,0.28,0.26,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
14,Epinephelus adscensionis,demersal,0.81,0.60,-0.55,-0.38,0.76,-0.01,0.51,0.64,0.22,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0
16,Epinephelus itajara,reef-associated,1.02,0.62,-0.49,1.06,0.59,-0.14,0.99,2.04,0.05,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0
17,Epinephelus morio,reef-associated,1.24,0.58,-0.48,-0.47,0.96,0.03,0.30,1.35,0.16,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1
18,Epinephelus striatus,reef-associated,2.10,0.59,-0.54,-0.58,0.15,-0.01,0.99,1.33,0.20,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0
20,Argentina sphyraena,bathydemersal,2.10,-1.32,0.62,-0.03,-0.07,-0.10,0.29,0.09,-0.87,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
