 "GUID","COLLECTION","CAT_NUM","DEACCESSIONED","TOPTYPESTATUS","SCI_NAME_WITH_AUTH_PLAIN","SPEC_LOCALITY","COLLECTORS","BEGAN_DATE","ENDED_DATE","COUNTRY","STATE_PROV","WATERBODY","VERBATIM_DATE","OTHERCATALOGNUMBERS"
"MCZ:Ich:57469","Ichthyology","57469","","","Lepomis macrochirus Baird & Girard","Milton, Popes Pond","Karsten E. Hartel, Charles R. Gougeon, Stephen F.   Norton","1979-10-01","1979-10-01","United States","Massachusetts","","1/10/1979-1/10/1979","field number=KEH7947; group number=509"
"MCZ:Ich:48008","Ichthyology","48008","","","Teleogramma brichardi Poll, 1959","Congo River, rapids at Kinsuka, near Kinshasa","Tyson R. Roberts","1971-06-20","1971-06-20","Democratic Republic of the Congo","","","20/6/1971-20/6/1971","field number=TRR71:0620; group number=601"
"MCZ:Ich:57564","Ichthyology","57564","","","Campostoma anomalum (Rafinesque, 1820)","Gladys Fork of Cheat River at Rt. 33","Karsten E. Hartel, David Pybus","1977-10-14","1977-10-14","United States","West Virginia","","14/10/1977-14/10/1977","field number=KEH7706; group number=230"
"MCZ:Ich:57655","Ichthyology","57655","","Voucher","Stomias affinis Günther, 1887","[no specific locality data]","Richard H. Backus, RV Atlantis II 059","1970-11-20","1970-11-20","Cape Verde","","Atlantic, Eastern Central","20/11/1970-20/11/1970","field number=RHB2067; group number=154"
"MCZ:Ich:61774","Ichthyology","61774","","","Lycodes pacificus Collett, 1879","San Juan Islands, East Sound, Orcas Island.","Stephen F.   Norton, RV Nugget","1982-09-04","1982-09-04","","","Pacific, Northeast","4/9/1982-4/9/1982","field number=SFN82:0904A; group number=330"
"MCZ:Ich:61970","Ichthyology","61970","","","Anchoa filifera (Fowler, 1915)","2/3 Maria Chiquita- Porto Bello","Ira Rubinoff","1961-02-17","1961-02-17","Panama","","Caribbean Sea","17/2/1961-17/2/1961","field number=IR012; group number=114; previous number=MCZ 44747"
"MCZ:Ich:66651","Ichthyology","66651","","Voucher","Argyropelecus lychnus lychnus Garman, 1899","[coordinate data only]","Richard H. Backus, RV Atlantis II 020","1966-04-30","1966-04-30","Barbados","","Caribbean Sea","30/4/1966-30/4/1966","field number=RHB1223; group number=149"
"MCZ:Ich:66656","Ichthyology","66656","","Voucher","Argyropelecus hemigymnus Cocco, 1829","[coordinate data only]","Richard H. Backus, RV Atlantis II 049","1969-06-03","1969-06-03","","","Mediterranean Sea","3/6/1969-3/6/1969","field number=RHB1850; group number=149"
"MCZ:Ich:66658","Ichthyology","66658","","Voucher","Argyropelecus gigas Norman, 1930","[coordinate data only]","Richard H. Backus, RV Chain 060","1966-06-21","1966-06-21","United States","","Gulf of Mexico","21/6/1966-21/6/1966","field number=RHB1305; group number=149"
"MCZ:Ich:75347","Ichthyology","75347","","","Scomberomorus cavalla (Cuvier, 1829)","[coordinate data only]","RV Oceanus 158, Karsten E. Hartel","1984-08-12","1984-08-12","","","Atlantic Ocean","12/8/1984-12/8/1984","field number=KEH8409; group number=733"
"MCZ:Ich:75510","Ichthyology","75510","","","Argyropelecus aculeatus Valenciennes, 1849","[coordinate data only]","Richard H. Backus, RV Chain 060","1966-06-05","1966-06-05","Colombia","","Caribbean Sea","5/6/1966-5/6/1966","field number=RHB1274; group number=149"
"MCZ:Ich:75511","Ichthyology","75511","","","Argyropelecus olfersii (Cuvier, 1829)","off Azores, Portugal","Richard H. Backus, RV Atlantis II 013","1964-09-20","1964-09-20","","","Atlantic, Northeast","20/9/1964-20/9/1964","field number=RHB1037; group number=149"
"MCZ:Ich:75562","Ichthyology","75562","","","Thunnus atlanticus (Lesson, 1831)","west of cold-core 'Bob'","RV Endeavor 011","1977-08-02","1977-08-02","United States","","Atlantic, Western Central","2/8/1977-2/8/1977","field number=MOC10-043; group number=733"
"MCZ:Ich:75567","Ichthyology","75567","","","Thunnus atlanticus (Lesson, 1831)","Florida Current - Jacksonville/St. Augustine Section","James E. Craddock, RV Oceanus 049","1978-08-03","1978-08-03","United States","","Atlantic, Western Central","3/8/1978-3/8/1978","field number=MOC10-092,0; group number=733"
"MCZ:Ich:75586","Ichthyology","75586","","","Thunnus atlanticus (Lesson, 1831)","[no specific locality data]","RV Crawford 172, James E. Craddock","1968-08-12","1968-08-12","United States","","Georges Bank","12/8/1968-12/8/1968","field number=SUN9505; group number=733"
"MCZ:Ich:75592","Ichthyology","75592","","","Thunnus atlanticus (Lesson, 1831)","[coordinate data only]","Richard H. Backus, RV Chain 060","1966-06-17","1966-06-17","Mexico","","Atlantic, Western Central","17/6/1966-17/6/1966","field number=RHB1293; group number=733"
"MCZ:Ich:75594","Ichthyology","75594","","","Thunnus atlanticus (Lesson, 1831)","[coordinate data only]","Richard H. Backus, RV Chain 060","1966-06-19","1966-06-19","Mexico","","Atlantic, Western Central","19/6/1966-19/6/1966","field number=RHB1298; group number=733"
"MCZ:Ich:75604","Ichthyology","75604","","","Thunnus alalunga","[coordinate data only]","Richard H. Backus, RV Atlantis II 078","1973-09-08","1973-09-08","High Seas","","Atlantic, Eastern Central","8/9/1973-8/9/1973","field number=RHB2908; group number=733"
"MCZ:Ich:75614","Ichthyology","75614","","","Thunnus","[coordinate data only]","Richard H. Backus, RV Atlantis II 078","1973-10-13","1973-10-13","High Seas","","Atlantic, Western Central","13/10/1973-13/10/1973","field number=RHB2989; group number=733"
"MCZ:Ich:75616","Ichthyology","75616","","","Thunnus atlanticus (Lesson, 1831)","[no specific locality data]","RV Oceanus 158, Karsten E. Hartel","1984-08-12","1984-08-12","","","Atlantic, Northwest","12/8/1984-12/8/1984","field number=KEH8410; group number=733"
"MCZ:Ich:75621","Ichthyology","75621","","","Thunnus alalunga","[coordinate data only]","RV Oceanus 158, Karsten E. Hartel","1984-08-25","1984-08-25","High Seas","","Atlantic, Eastern Central","25/8/1984-25/8/1984","field number=KEH8458; group number=733"
"MCZ:Ich:80344","Ichthyology","80344","","","Chaetodipterus faber (Broussonet, 1782)","Florida","[no agent data]","1700-01-01","1988-03-01","United States","Florida","Atlantic, Western Central","[no verbatim date data]","field number=AK-FLA; group number=583"
