 "GUID","COLLECTION","CAT_NUM","DEACCESSIONED","TOPTYPESTATUS","SCI_NAME_WITH_AUTH_PLAIN","SPEC_LOCALITY","COLLECTORS","BEGAN_DATE","ENDED_DATE","COUNTRY","STATE_PROV","WATERBODY","VERBATIM_DATE","OTHERCATALOGNUMBERS"
"MCZ:Ich:39674","Ichthyology","39674","","","Ariopsis felis (Linnaeus, 1766)","Mayapan, Yucatan.  Sub fossil ca. 1200-1450.","Carnegie Institute of Washington Maya Expeditions, Clayton E. Ray","1951-01-01","1955-12-31","Mexico","Yucatan","","1951-1955","field number=C.RAY:MAYAPAN; group number=262; previous number=C-107"
"MCZ:Ich:39922","Ichthyology","39922","","","Melanogrammus","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=319"
"MCZ:Ich:63154","Ichthyology","63154","","","Gila crassicauda (Baird and Girard, 1854)","Sacramento","[no agent data]","1700-01-01","1992-03-01","United States","California","","[no verbatim date data]","field number=Z63154; group number=230"
"MCZ:Ich:50962","Ichthyology","50962","","","Boulengerochromis microlepis (Boulenger, 1899)","Lake Tanganyika, Station 1","Donald J. Stewart","1973-10-01","1973-10-31","Burundi","","","0/10/1973-0/10/1973","field number=DJS730; group number=601; previous number=M-1895"
"MCZ:Ich:56352","Ichthyology","56352","","","Ulvaria subbifurcata (Storer, 1839)","Nahant, East Point, Tide Pools","Bruce B. Collette, and students","1979-08-16","1979-08-16","United States","Massachusetts","Atlantic, Northwest","16/8/1979-16/8/1979","field number=BBC1752; group number=683"
"MCZ:Ich:96422","Ichthyology","96422","","","Epinephelus morio (Valenciennes, 1828)","Florida","[no agent data]","1700-01-01","1991-03-01","United States","Florida","Atlantic, Western Central","[no verbatim date data]","field number=Z96422; group number=476"
"MCZ:Ich:89534","Ichthyology","89534","","","Clupeidae sp.","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=110"
"MCZ:Ich:94705","Ichthyology","94705","","","Salmo salar Linnaeus, 1758","Bangor","A. C. Hamlin","1855-01-01","1855-12-31","United States","Maine","","1855-1855","field number=AEH:BANGOR; group number=129"
"MCZ:Ich:94708","Ichthyology","94708","","","Ictaluridae sp.","WESTERN STATES; Rec'd mid-1800's?","[no agent data]","1700-01-01","1992-03-01","United States","","","[no verbatim date data]","field number=Z94708; group number=246"
"MCZ:Ich:86449","Ichthyology","86449","","","Melanogrammus aeglefinus (Linnaeus, 1758)","Georges Bank via New Bedford Fish Market","Paul Boutin","1967-07-01","1967-07-31","","","Atlantic Ocean","0/7/1967-0/7/1967","field number=Z86445; group number=319"
"MCZ:Ich:86456","Ichthyology","86456","","","Melanogrammus aeglefinus (Linnaeus, 1758)","Georges Bank via New Bedford Fish Market","Paul Boutin","1967-07-01","1967-07-31","","","Atlantic Ocean","0/7/1967-0/7/1967","field number=Z86445; group number=319"
"MCZ:Ich:86662","Ichthyology","86662","","","Embiotoca lateralis Agassiz, 1854","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=599"
"MCZ:Ich:91331","Ichthyology","91331","","","Holacanthus ciliaris (Linnaeus, 1758)","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=590"
"MCZ:Ich:91335","Ichthyology","91335","","","Esox lucius Linnaeus, 1758","Cambridge, Charles River.","Karsten E. Hartel","1987-01-01","1987-12-31","United States","Massachusetts","","1987-1987","field number=KEH1987; group number=145"
"MCZ:Ich:100920","Ichthyology","100920","","","Esox masquinongy Mitchill, 1824","Fort Des Moines","G. M. Gugenhiem","1859-08-01","1859-08-31","United States","Iowa","","0/8/1859-0/8/1859","field number=GMG:DES_MOINES; group number=145"
"MCZ:Ich:101030","Ichthyology","101030","","","Lithodoras dorsalis (Valenciennes, 1840)","[no specific locality data]","[no agent data]","1700-01-01","1993-03-01","","","","[no verbatim date data]","field number=SOUTH AMERICA; group number=263"
"MCZ:Ich:101333","Ichthyology","101333","","","Notemigonus crysoleucas (Mitchill, 1814)","Bellamy Reservoir Complex, Madbury, Dover","E-Map Program, US Environmental Protection Agency","1993-07-06","1993-07-06","United States","New Hampshire","","6/7/1993-6/7/1993","field number=EMAP93:NH501; group number=230"
